province,party,months_before,cpi_category,vote_share_2019,vote_share_2021,delta_vote_share,cpi_change
Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,12,Food,0.0000000000,0.0000000000,0.0000000000,5.233333

Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,24,All-items,0.0000000000,0.0000000000,0.0000000000,2.933333

Newfoundland and Labrador,Canada's Fourth Front/QuatriΦme front du Canada,24,Food,0.0000000000,0.0000000000,0.0000000000,4.979167

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,3,All-items,0.0000000000,0.0000000000,0.0000000000,8.366667

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,3,Food,0.0000000000,0.0000000000,0.0000000000,10.966667

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,6,All-items,0.0000000000,0.0000000000,0.0000000000,6.933333

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,6,Food,0.0000000000,0.0000000000,0.0000000000,10.366667

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,12,All-items,0.0000000000,0.0000000000,0.0000000000,5.183333

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,12,Food,0.0000000000,0.0000000000,0.0000000000,10.333333

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.570833

Prince Edward Island,Canada's Fourth Front/QuatriΦme front du Canada,24,Food,0.0000000000,0.0000000000,0.0000000000,10.537500

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.166667

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,3,Food,0.0000000000,0.0000000000,0.0000000000,8.066667

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.566667

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,6,Food,0.0000000000,0.0000000000,0.0000000000,7.366667

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.725000

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,12,Food,0.0000000000,0.0000000000,0.0000000000,7.091667

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.779167

Nova Scotia,Canada's Fourth Front/QuatriΦme front du Canada,24,Food,0.0000000000,0.0000000000,0.0000000000,7.441667

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,3,All-items,0.0000000000,0.0000000000,0.0000000000,6.000000

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,3,Food,0.0000000000,0.0000000000,0.0000000000,10.033333

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,6,All-items,0.0000000000,0.0000000000,0.0000000000,5.183333

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,6,Food,0.0000000000,0.0000000000,0.0000000000,8.850000

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,12,All-items,0.0000000000,0.0000000000,0.0000000000,4.125000

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,12,Food,0.0000000000,0.0000000000,0.0000000000,8.208333

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,24,All-items,0.0000000000,0.0000000000,0.0000000000,3.466667

New Brunswick,Canada's Fourth Front/QuatriΦme front du Canada,24,Food,0.0000000000,0.0000000000,0.0000000000,8.437500

Quebec,Canada's Fourth Front/QuatriΦme front du Canada,3,All-items,0.0000000000,0.0000128292,0.0000128292,6.500000

Quebec,Canada's Fourth Front/QuatriΦme front du Canada,3,Food,0.0000000000,0.0000128292,0.0000128292,8.300000

Quebec,Canada's Fourth Front/QuatriΦme front du Canada,6,All-items,0.0000000000,0.0000128292,0.0000128292,5.616667

Quebec,Canada's Fourth Front/QuatriΦme front du Canada,6,Food,0.0000000000,0.0000128292,0.0000128292,7.050000

Quebec,Canada's Fourth Front/QuatriΦme front du Canada,12,All-items,0.0000000000,0.0000128292,0.0000128292,4.925000

